name,type,start_time,duration,"mosi","miso"
"SPI","enable",3.2255049,1e-07,,
"SPI","disable",3.2255177,9.99999997e-08,,
"SPI","enable",3.2255306,1e-07,,
"SPI","disable",3.2255436,9.99999997e-08,,
"SPI","enable",3.2255562,1e-07,,
"SPI","disable",3.225569,1e-07,,
"SPI","enable",3.2255818,9.99999997e-08,,
"SPI","disable",3.2255947,1.00000001e-07,,
"SPI","enable",3.2256076,1e-07,,
"SPI","disable",3.22562,9.99999997e-08,,
"SPI","enable",3.2256327,1e-07,,
"SPI","disable",3.2256454,1e-07,,
"SPI","enable",3.2256579,1.00000001e-07,,
"SPI","disable",3.2256704,1e-07,,
"SPI","enable",3.225683,9.99999997e-08,,
"SPI","disable",3.2256953,1e-07,,
"SPI","enable",3.2257076,1e-07,,
"SPI","disable",3.2257199,9.99999997e-08,,
"SPI","enable",3.2257321,9.99999997e-08,,
"SPI","disable",3.2257445,1e-07,,
"SPI","enable",3.225757,1e-07,,
"SPI","disable",3.2257693,9.99999997e-08,,
"SPI","enable",3.2257818,9.99999997e-08,,
"SPI","disable",3.225794,1e-07,,
"SPI","enable",3.2258064,9.99999997e-08,,
"SPI","disable",3.2258187,9.99999997e-08,,
"SPI","enable",3.2258311,9.99999997e-08,,
"SPI","disable",3.2258436,9.99999997e-08,,
"SPI","enable",3.225856,1e-07,,
"SPI","disable",3.2258684,9.99999997e-08,,
"SPI","enable",3.2258806,9.99999997e-08,,
"SPI","disable",3.2258928,9.99999997e-08,,
"SPI","enable",3.2259048,1e-07,,
"SPI","disable",3.2259169,9.99999997e-08,,
"SPI","enable",3.2259289,9.99999997e-08,,
"SPI","disable",3.2259412,1e-07,,
"SPI","enable",3.2259535,9.99999997e-08,,
"SPI","disable",3.2259659,1e-07,,
"SPI","enable",3.2259782,9.99999997e-08,,
"SPI","disable",3.2259903,1e-07,,
"SPI","enable",3.2260026,9.99999997e-08,,
"SPI","disable",3.2260147,1.00000001e-07,,
"SPI","enable",3.226027,1e-07,,
"SPI","disable",3.2260392,9.99999997e-08,,
"SPI","enable",3.2260514,1e-07,,
"SPI","disable",3.2260636,1e-07,,
"SPI","enable",3.2260758,1.00000001e-07,,
"SPI","disable",3.2260883,1e-07,,
"SPI","enable",3.2261006,9.99999997e-08,,
"SPI","disable",3.2261128,9.99999997e-08,,
"SPI","enable",3.2261249,1e-07,,
"SPI","disable",3.2261371,1e-07,,
"SPI","enable",3.2261492,1e-07,,
"SPI","disable",3.2261615,1.00000001e-07,,
"SPI","enable",3.2261738,1e-07,,
"SPI","disable",3.2261859,1e-07,,
"SPI","enable",3.2261982,1e-07,,
"SPI","disable",3.2262105,9.99999997e-08,,
"SPI","enable",3.2262226,1e-07,,
"SPI","disable",3.2262348,1e-07,,
"SPI","enable",3.2262471,9.99999997e-08,,
"SPI","disable",3.2262593,9.99999997e-08,,
"SPI","enable",3.2262716,9.99999997e-08,,
"SPI","disable",3.2262837,9.99999997e-08,,
"SPI","enable",3.2262957,9.99999997e-08,,
"SPI","disable",3.2263079,9.99999997e-08,,
"SPI","enable",3.2263201,1e-07,,
"SPI","disable",3.2263324,1e-07,,
"SPI","enable",3.2263447,1.00000001e-07,,
"SPI","disable",3.2263569,1e-07,,
"SPI","enable",3.2263693,1e-07,,
"SPI","disable",3.2263817,1e-07,,
"SPI","enable",3.2263941,1e-07,,
"SPI","disable",3.2264065,9.99999997e-08,,
"SPI","enable",3.2264187,9.99999997e-08,,
"SPI","disable",3.2264308,9.99999997e-08,,
"SPI","enable",3.226443,9.99999997e-08,,
"SPI","disable",3.2264553,9.99999997e-08,,
"SPI","enable",3.2264677,9.99999997e-08,,
"SPI","disable",3.2264801,1e-07,,
"SPI","enable",3.2264925,1e-07,,
"SPI","disable",3.2265048,1e-07,,
"SPI","enable",3.2265169,9.99999997e-08,,
"SPI","disable",3.226529,1e-07,,
"SPI","enable",3.2265414,1e-07,,
"SPI","disable",3.2265537,9.99999997e-08,,
"SPI","enable",3.2265662,9.99999997e-08,,
"SPI","disable",3.2265785,9.99999997e-08,,
"SPI","enable",3.2265908,1e-07,,
"SPI","disable",3.226603,1e-07,,
"SPI","enable",3.2266152,1.00000001e-07,,
"SPI","disable",3.2266274,1e-07,,
"SPI","enable",3.2266396,1e-07,,
"SPI","disable",3.2266518,9.99999997e-08,,
"SPI","enable",3.226664,1e-07,,
"SPI","disable",3.2266763,1.00000001e-07,,
"SPI","enable",3.2266886,1e-07,,
"SPI","disable",3.2267008,9.99999997e-08,,
"SPI","enable",3.2267132,1.00000001e-07,,
"SPI","disable",3.2267255,9.99999997e-08,,
"SPI","enable",3.2267379,1.00000001e-07,,
"SPI","disable",3.22675,9.99999997e-08,,
"SPI","enable",3.2267624,9.99999997e-08,,
"SPI","disable",3.2267743,1e-07,,
"SPI","enable",3.2267866,1e-07,,
"SPI","disable",3.2267989,1e-07,,
"SPI","enable",3.2268113,1e-07,,
"SPI","disable",3.2268238,9.99999997e-08,,
"SPI","enable",3.2268362,9.99999997e-08,,
"SPI","disable",3.2268485,9.99999997e-08,,
"SPI","enable",3.2268605,1e-07,,
"SPI","disable",3.2268717,1e-07,,
"SPI","enable",3.226883,9.99999997e-08,,
"SPI","disable",3.2268942,1e-07,,
"SPI","enable",3.2269054,9.99999997e-08,,
"SPI","disable",3.2269166,9.99999997e-08,,
"SPI","enable",3.2269278,1e-07,,
"SPI","disable",3.226939,1e-07,,
"SPI","enable",3.2269503,1e-07,,
"SPI","disable",3.2269617,1e-07,,
"SPI","enable",3.2269731,1.00000001e-07,,
"SPI","disable",3.2270296,1e-07,,
"SPI","enable",3.227143,1e-07,,
"SPI","disable",3.2272562,1e-07,,
"SPI","enable",3.2274827,1e-07,,
"SPI","disable",3.2277198,1e-07,,
"SPI","enable",3.2279567,9.99999997e-08,,
"SPI","disable",3.2281942,1e-07,,
"SPI","enable",3.2284197,1e-07,,
"SPI","disable",3.2286454,9.99999997e-08,,
"SPI","enable",3.228877,9.99999997e-08,,
"SPI","disable",3.2291142,1e-07,,
"SPI","enable",3.2293455,9.99999997e-08,,
"SPI","disable",3.2295706,1e-07,,
"SPI","enable",3.2298022,9.99999997e-08,,
"SPI","disable",3.2300397,1e-07,,
"SPI","enable",3.2302778,9.99999997e-08,,
"SPI","disable",3.2305087,9.99999997e-08,,
"SPI","enable",3.2307338,1e-07,,
"SPI","disable",3.2309587,9.99999997e-08,,
"SPI","enable",3.2311952,9.99999997e-08,,
"SPI","disable",3.2314203,1e-07,,
"SPI","enable",3.2316571,1e-07,,
"SPI","disable",3.2318933,1e-07,,
"SPI","enable",3.2321183,9.99999997e-08,,
"SPI","disable",3.2323546,1.00000001e-07,,
"SPI","enable",3.2325912,1e-07,,
"SPI","disable",3.2328163,9.99999997e-08,,
"SPI","enable",3.233047,9.99999997e-08,,
"SPI","disable",3.2332841,9.99999997e-08,,
"SPI","enable",3.2335144,1.00000001e-07,,
"SPI","disable",3.2337442,1.00000001e-07,,
"SPI","enable",3.2339744,9.99999997e-08,,
"SPI","disable",3.2342046,9.99999997e-08,,
"SPI","enable",3.2344407,9.99999997e-08,,
"SPI","disable",3.234677,9.99999997e-08,,
"SPI","enable",3.2349137,1e-07,,
"SPI","disable",3.2351446,1e-07,,
"SPI","enable",3.2353701,1e-07,,
"SPI","disable",3.2356058,9.99999997e-08,,
"SPI","enable",3.235843,1e-07,,
"SPI","disable",3.236067,1e-07,,
"SPI","enable",3.2363035,9.99999997e-08,,
"SPI","disable",3.2365402,1e-07,,
"SPI","enable",3.2367647,9.99999997e-08,,
"SPI","disable",3.2370006,1e-07,,
"SPI","enable",3.2372247,9.99999997e-08,,
"SPI","disable",3.2374604,1e-07,,
"SPI","enable",3.2376915,9.99999997e-08,,
"SPI","disable",3.2379224,9.99999997e-08,,
"SPI","enable",3.2381593,1e-07,,
"SPI","disable",3.2383903,1e-07,,
"SPI","enable",3.2386166,1e-07,,
"SPI","disable",3.238848,9.99999997e-08,,
"SPI","enable",3.239085,1e-07,,
"SPI","disable",3.2393213,1e-07,,
"SPI","enable",3.2395577,9.99999997e-08,,
"SPI","disable",3.2397937,1.00000001e-07,,
"SPI","enable",3.2400231,9.99999997e-08,,
"SPI","disable",3.2402462,9.99999997e-08,,
"SPI","enable",3.2404807,9.99999997e-08,,
"SPI","disable",3.2407152,1e-07,,
"SPI","enable",3.2409507,9.99999997e-08,,
"SPI","disable",3.2411857,9.99999997e-08,,
"SPI","enable",3.2414196,9.99999997e-08,,
"SPI","disable",3.2416562,9.99999997e-08,,
