name,type,start_time,duration,"mosi","miso"
"SPI","enable",3.34436775,2.5e-07,,
"SPI","result",3.34436875,4e-06,0b00001010,0b00000000
"SPI","disable",3.34437275,2.5e-07,,
"SPI","enable",3.34437575,2.5e-07,,
"SPI","result",3.344378,4e-06,0b00000010,0b00000000
"SPI","result",3.34438275,4e-06,0b00001000,0b00000000
"SPI","result",3.3443905,4e-06,0b00000001,0b00000000
"SPI","result",3.34439525,4e-06,0b00001111,0b00000000
"SPI","disable",3.3444005,2.50000001e-07,,
"SPI","enable",3.34440275,2.5e-07,,
"SPI","result",3.344405,4e-06,0b00000000,0b00000000
"SPI","result",3.3444095,4.25e-06,0b00001110,0b00000000
"SPI","result",3.34441725,4.25e-06,0b00000000,0b00000000
"SPI","result",3.344422,4e-06,0b00000001,0b00000000
"SPI","disable",3.34442725,2.50000001e-07,,
"SPI","enable",3.3444295,2.50000001e-07,,
"SPI","result",3.34443175,4.25e-06,0b00000000,0b00000000
"SPI","result",3.3444365,4e-06,0b00000001,0b00000000
"SPI","result",3.34444425,4e-06,0b00000110,0b00000000
"SPI","result",3.344449,4e-06,0b00000010,0b00000000
"SPI","disable",3.34445425,2.5e-07,,
"SPI","enable",3.3444565,2.5e-07,,
"SPI","result",3.34445875,4e-06,0b00000001,0b00000000
"SPI","result",3.3444635,4e-06,0b00001111,0b00000000
"SPI","result",3.34447125,4e-06,0b00000000,0b00000000
"SPI","result",3.344476,4e-06,0b00001111,0b00000000
"SPI","disable",3.34448125,2.50000001e-07,,
"SPI","enable",3.344485,2.5e-07,,
"SPI","result",3.344487,4.25e-06,0b00000000,0b00000000
"SPI","result",3.34449175,4e-06,0b00001111,0b00000000
"SPI","result",3.3444995,4.25e-06,0b00000000,0b00000000
"SPI","result",3.34450425,4e-06,0b00000100,0b00000000
"SPI","disable",3.3445095,2.5e-07,,
"SPI","enable",3.34451175,2.5e-07,,
"SPI","result",3.344514,4e-06,0b00000000,0b00000000
"SPI","result",3.34451875,4e-06,0b00001011,0b00000000
"SPI","result",3.3445265,4e-06,0b00000000,0b00000000
"SPI","result",3.34453125,4e-06,0b00000001,0b00000000
"SPI","disable",3.3445365,2.50000001e-07,,
"SPI","enable",3.34453875,2.50000001e-07,,
"SPI","result",3.344541,4e-06,0b00000000,0b00000000
"SPI","result",3.3445455,4.25e-06,0b00000011,0b00000000
"SPI","result",3.3445535,4e-06,0b00000000,0b00000000
"SPI","result",3.344558,4.25e-06,0b00001111,0b00000000
"SPI","disable",3.3445635,2.5e-07,,
"SPI","enable",3.3447715,2.5e-07,,
"SPI","result",3.34477225,4.25e-06,0b00001010,0b00000000
"SPI","disable",3.3447765,2.5e-07,,
"SPI","enable",3.3447795,2.5e-07,,
"SPI","result",3.34478025,4.25e-06,0b00001110,0b00000000
"SPI","disable",3.3447845,2.50000001e-07,,
"SPI","enable",3.34478625,2.50000001e-07,,
"SPI","result",3.34478875,4e-06,0b00000000,0b00000000
"SPI","result",3.34479325,4.25e-06,0b00000101,0b00000000
"SPI","result",3.3448035,4e-06,0b00000100,0b00000000
"SPI","result",3.34480825,4e-06,0b00001001,0b00000000
"SPI","result",3.344819,4e-06,0b00000010,0b00000000
"SPI","result",3.34482375,4e-06,0b00000101,0b00000000
"SPI","result",3.3448345,4e-06,0b00000010,0b00000000
"SPI","result",3.34483925,4e-06,0b00000001,0b00000000
"SPI","result",3.34485,4e-06,0b00000110,0b00000000
"SPI","result",3.34485475,4e-06,0b00000100,0b00000000
"SPI","result",3.3448655,4e-06,0b00000010,0b00000000
"SPI","result",3.34487025,4e-06,0b00000001,0b00000000
"SPI","result",3.344881,4e-06,0b00000011,0b00000000
"SPI","result",3.34488575,4e-06,0b00000100,0b00000000
"SPI","result",3.3448965,4e-06,0b00000010,0b00000000
"SPI","result",3.34490125,4e-06,0b00000001,0b00000000
"SPI","result",3.344912,4.25e-06,0b00000001,0b00000000
"SPI","result",3.34491675,4e-06,0b00000100,0b00000000
"SPI","result",3.3449275,4.25e-06,0b00000010,0b00000000
"SPI","result",3.34493225,4e-06,0b00001100,0b00000000
"SPI","result",3.344943,4.25e-06,0b00000001,0b00000000
"SPI","result",3.34494775,4e-06,0b00000100,0b00000000
"SPI","result",3.34495875,4e-06,0b00000010,0b00000000
