name,type,start_time,duration,"mosi","miso"
"SPI","enable",24.1643665,2.50000001e-07,,
"SPI","result",24.1643673,4.25e-06,0b00001010,0b00000000
"SPI","disable",24.1643715,2.50000001e-07,,
"SPI","enable",24.1643745,2.49999997e-07,,
"SPI","result",24.1643767,4e-06,0b00000010,0b00000000
"SPI","result",24.1643815,4e-06,0b00001000,0b00000000
"SPI","result",24.1643892,4e-06,0b00000001,0b00000000
"SPI","result",24.1643937,4.25e-06,0b00001111,0b00000000
"SPI","disable",24.164399,2.49999997e-07,,
"SPI","enable",24.1644015,2.50000001e-07,,
"SPI","result",24.1644035,4.25e-06,0b00000000,0b00000000
"SPI","result",24.1644083,4e-06,0b00001110,0b00000000
"SPI","result",24.164416,4e-06,0b00000000,0b00000000
"SPI","result",24.1644208,4e-06,0b00000001,0b00000000
"SPI","disable",24.164426,2.50000001e-07,,
"SPI","enable",24.1644283,2.49999997e-07,,
"SPI","result",24.1644305,4e-06,0b00000000,0b00000000
"SPI","result",24.1644353,4e-06,0b00000001,0b00000000
"SPI","result",24.164443,4e-06,0b00000110,0b00000000
"SPI","result",24.1644475,4.25e-06,0b00000010,0b00000000
"SPI","disable",24.164453,2.50000001e-07,,
"SPI","enable",24.1644552,2.50000001e-07,,
"SPI","result",24.1644575,4e-06,0b00000001,0b00000000
"SPI","result",24.164462,4.25e-06,0b00001111,0b00000000
"SPI","result",24.1644697,4.25e-06,0b00000000,0b00000000
"SPI","result",24.1644745,4e-06,0b00001111,0b00000000
"SPI","disable",24.1644798,2.49999997e-07,,
"SPI","enable",24.1644837,2.50000001e-07,,
"SPI","result",24.1644858,4.25e-06,0b00000000,0b00000000
"SPI","result",24.1644905,4e-06,0b00001111,0b00000000
"SPI","result",24.1644983,4e-06,0b00000000,0b00000000
"SPI","result",24.164503,4e-06,0b00000100,0b00000000
"SPI","disable",24.1645083,2.49999997e-07,,
"SPI","enable",24.1645105,2.50000001e-07,,
"SPI","result",24.1645128,4e-06,0b00000000,0b00000000
"SPI","result",24.1645175,4e-06,0b00001011,0b00000000
"SPI","result",24.1645253,4e-06,0b00000000,0b00000000
"SPI","result",24.1645297,4.25e-06,0b00000001,0b00000000
"SPI","disable",24.1645353,2.49999997e-07,,
"SPI","enable",24.1645375,2.49999997e-07,,
"SPI","result",24.1645397,4e-06,0b00000000,0b00000000
"SPI","result",24.1645442,4e-06,0b00000011,0b00000000
"SPI","result",24.164552,4.25e-06,0b00000000,0b00000000
"SPI","result",24.1645567,4e-06,0b00001111,0b00000000
"SPI","disable",24.164562,2.49999997e-07,,
"SPI","enable",24.16477,2.50000001e-07,,
"SPI","result",24.164771,4e-06,0b00001010,0b00000000
"SPI","disable",24.1647753,2.49999997e-07,,
"SPI","enable",24.164778,2.50000005e-07,,
"SPI","result",24.164779,4e-06,0b00001110,0b00000000
"SPI","disable",24.1647832,2.49999997e-07,,
"SPI","enable",24.164785,2.50000001e-07,,
"SPI","result",24.1647875,4e-06,0b00000000,0b00000000
"SPI","result",24.164792,4e-06,0b00000101,0b00000000
"SPI","result",24.1648023,4e-06,0b00000100,0b00000000
