name,type,start_time,duration,"mosi","miso"
"SPI","enable",4.4143005,2.49999999e-07,,
"SPI","result",4.4143015,4e-06,0b00001010,0b00000000
"SPI","disable",4.4143055,2.49999999e-07,,
"SPI","enable",4.4143085,2.5e-07,,
"SPI","result",4.41431075,4e-06,0b00000010,0b00000000
"SPI","result",4.4143155,4e-06,0b00001000,0b00000000
"SPI","result",4.41432325,4e-06,0b00000001,0b00000000
"SPI","result",4.414328,4e-06,0b00001111,0b00000000
"SPI","disable",4.41433325,2.49999999e-07,,
"SPI","enable",4.4143355,2.5e-07,,
"SPI","result",4.4143375,4.25e-06,0b00000000,0b00000000
"SPI","result",4.41434225,4e-06,0b00001110,0b00000000
"SPI","result",4.41435,4.25e-06,0b00000000,0b00000000
"SPI","result",4.41435475,4e-06,0b00000001,0b00000000
"SPI","disable",4.41436,2.49999999e-07,,
"SPI","enable",4.41436225,2.5e-07,,
"SPI","result",4.4143645,4e-06,0b00000000,0b00000000
"SPI","result",4.41436925,4e-06,0b00000001,0b00000000
"SPI","result",4.414377,4e-06,0b00000110,0b00000000
"SPI","result",4.41438175,4e-06,0b00000010,0b00000000
"SPI","disable",4.414387,2.5e-07,,
"SPI","enable",4.41438925,2.5e-07,,
"SPI","result",4.4143915,4e-06,0b00000001,0b00000000
"SPI","result",4.414396,4.25e-06,0b00001111,0b00000000
"SPI","result",4.414404,4e-06,0b00000000,0b00000000
"SPI","result",4.4144085,4.25e-06,0b00001111,0b00000000
"SPI","disable",4.41441375,2.5e-07,,
"SPI","enable",4.41441775,2.5e-07,,
"SPI","result",4.41441975,4.25e-06,0b00000000,0b00000000
"SPI","result",4.4144245,4e-06,0b00001111,0b00000000
"SPI","result",4.41443225,4.25e-06,0b00000000,0b00000000
"SPI","result",4.414437,4e-06,0b00000100,0b00000000
"SPI","disable",4.41444225,2.50000001e-07,,
"SPI","enable",4.4144445,2.5e-07,,
"SPI","result",4.41444675,4e-06,0b00000000,0b00000000
"SPI","result",4.4144515,4e-06,0b00001011,0b00000000
"SPI","result",4.41445925,4e-06,0b00000000,0b00000000
"SPI","result",4.414464,4e-06,0b00000001,0b00000000
"SPI","disable",4.41446925,2.5e-07,,
"SPI","enable",4.4144715,2.49999999e-07,,
"SPI","result",4.41447375,4e-06,0b00000000,0b00000000
"SPI","result",4.41447825,4.25e-06,0b00000011,0b00000000
"SPI","result",4.41448625,4e-06,0b00000000,0b00000000
"SPI","result",4.41449075,4e-06,0b00001111,0b00000000
"SPI","disable",4.414496,2.5e-07,,
"SPI","enable",4.414704,2.49999999e-07,,
"SPI","result",4.414705,4e-06,0b00001010,0b00000000
"SPI","disable",4.41470925,2.5e-07,,
"SPI","enable",4.414712,2.5e-07,,
"SPI","result",4.414713,4e-06,0b00001110,0b00000000
"SPI","disable",4.41471725,2.5e-07,,
"SPI","enable",4.414719,2.5e-07,,
"SPI","result",4.41472125,4.25e-06,0b00000000,0b00000000
"SPI","result",4.414726,4e-06,0b00000101,0b00000000
"SPI","result",4.41473625,4e-06,0b00000100,0b00000000
"SPI","result",4.41474075,4.25e-06,0b00001001,0b00000000
"SPI","result",4.41475175,4e-06,0b00000010,0b00000000
"SPI","result",4.41475625,4.25e-06,0b00000000,0b00000000
"SPI","result",4.41476725,4e-06,0b00000010,0b00000000
"SPI","result",4.41477175,4.25e-06,0b00000001,0b00000000
"SPI","result",4.41478275,4e-06,0b00000110,0b00000000
"SPI","result",4.41478725,4.25e-06,0b00000100,0b00000000
"SPI","result",4.41479825,4e-06,0b00000010,0b00000000
"SPI","result",4.414803,4e-06,0b00000001,0b00000000
"SPI","result",4.41481375,4e-06,0b00000011,0b00000000
"SPI","result",4.4148185,4e-06,0b00000100,0b00000000
"SPI","result",4.41482925,4e-06,0b00000010,0b00000000
"SPI","result",4.414834,4e-06,0b00000001,0b00000000
"SPI","result",4.41484475,4e-06,0b00000001,0b00000000
"SPI","result",4.4148495,4e-06,0b00000100,0b00000000
"SPI","result",4.41486025,4e-06,0b00000010,0b00000000
"SPI","result",4.414865,4e-06,0b00001100,0b00000000
"SPI","result",4.41487575,4e-06,0b00000001,0b00000000
"SPI","result",4.4148805,4e-06,0b00000100,0b00000000
"SPI","result",4.41489125,4.25e-06,0b00000010,0b00000000
"SPI","result",4.414896,4e-06,0b00001100,0b00000000
"SPI","result",4.41490675,4.25e-06,0b00000001,0b00000000
"SPI","result",4.4149115,4e-06,0b00000100,0b00000000
"SPI","result",4.41492225,4.25e-06,0b00000010,0b00000000
"SPI","result",4.414927,4e-06,0b00001100,0b00000000
"SPI","result",4.41493775,4.25e-06,0b00000001,0b00000000
"SPI","result",4.4149425,4e-06,0b00000100,0b00000000
"SPI","result",4.4149535,4e-06,0b00000010,0b00000000
"SPI","result",4.414958,4e-06,0b00000001,0b00000000
"SPI","result",4.414969,4e-06,0b00000000,0b00000000
"SPI","result",4.4149735,4e-06,0b00000000,0b00000000
"SPI","disable",4.4149815,2.5e-07,,
"SPI","enable",4.41498375,2.49999999e-07,,
"SPI","result",4.41498475,4e-06,0b00001101,0b00000000
"SPI","disable",4.414989,2.49999999e-07,,
