name,type,start_time,duration,"mosi","miso"
"SPI","enable",1.4514395,2.5e-07,,
"SPI","result",1.45178875,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45179275,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.4518435,2.5e-07,,
"SPI","enable",1.45190475,2.5e-07,,
"SPI","result",1.45201775,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45202175,3.75e-06,0b00000110,0b00000000
"SPI","result",1.4520275,3.75e-06,0b00000101,0b00000000
"SPI","result",1.4520315,3.75e-06,0b00000111,0b00000000
"SPI","result",1.452037,3.75e-06,0b00000101,0b00000000
"SPI","result",1.452041,3.75e-06,0b00001010,0b00000000
"SPI","result",1.4520465,3.75e-06,0b00000101,0b00000000
"SPI","result",1.4520505,3.75e-06,0b00000010,0b00000000
"SPI","result",1.452056,4e-06,0b00000100,0b00000000
"SPI","result",1.45206025,3.75e-06,0b00000110,0b00000000
"SPI","disable",1.4520785,2.5e-07,,
"SPI","enable",1.45211675,2.5e-07,,
"SPI","result",1.452187,3.75e-06,0b00000000,0b00000000
"SPI","result",1.452191,3.75e-06,0b00000001,0b00000000
"SPI","result",1.4521965,3.75e-06,0b00000100,0b00000000
"SPI","result",1.4522005,3.75e-06,0b00000010,0b00000000
"SPI","disable",1.452219,2.5e-07,,
"SPI","enable",1.4522575,2.5e-07,,
"SPI","result",1.45231975,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45232375,3.75e-06,0b00001001,0b00000000
"SPI","result",1.45232925,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45233325,3.75e-06,0b00000101,0b00000000
"SPI","disable",1.45235175,2.5e-07,,
"SPI","enable",1.452389,2.5e-07,,
"SPI","result",1.45244425,3.75e-06,0b00001010,0b00000000
"SPI","result",1.45244825,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.45246575,2.5e-07,,
"SPI","enable",1.4525045,2.5e-07,,
"SPI","result",1.45256375,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45256775,3.75e-06,0b00001011,0b00000000
"SPI","result",1.45257325,3.75e-06,0b00000001,0b00000000
"SPI","result",1.45257725,3.75e-06,0b00001001,0b00000000
"SPI","disable",1.45259575,2.5e-07,,
"SPI","enable",1.45264925,2.5e-07,,
"SPI","result",1.45272225,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45272625,3.75e-06,0b00001100,0b00000000
"SPI","result",1.452732,3.75e-06,0b00000000,0b00000000
"SPI","result",1.452736,3.75e-06,0b00000001,0b00000000
"SPI","disable",1.4527525,2.5e-07,,
"SPI","enable",1.45278825,2.5e-07,,
"SPI","result",1.452856,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45286,3.75e-06,0b00001101,0b00000000
"SPI","result",1.4528655,3.75e-06,0b00000000,0b00000000
"SPI","result",1.4528695,3.75e-06,0b00000101,0b00000000
"SPI","disable",1.45288725,2.5e-07,,
"SPI","enable",1.4529265,2.5e-07,,
"SPI","result",1.4529975,3.75e-06,0b00000000,0b00000000
"SPI","result",1.4530015,3.75e-06,0b00001110,0b00000000
"SPI","result",1.453007,3.75e-06,0b00000000,0b00000000
"SPI","result",1.453011,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.45302875,2.5e-07,,
"SPI","enable",1.4530655,2.5e-07,,
"SPI","result",1.4531295,3.75e-06,0b00000000,0b00000000
"SPI","result",1.4531335,3.75e-06,0b00001111,0b00000000
"SPI","result",1.453139,3.75e-06,0b00000000,0b00000000
"SPI","result",1.453143,4e-06,0b00000000,0b00000000
"SPI","disable",1.45316075,2.5e-07,,
"SPI","enable",1.453201,2.5e-07,,
"SPI","result",1.45326375,3.75e-06,0b00000001,0b00000000
"SPI","result",1.45326775,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45327325,3.75e-06,0b00001001,0b00000000
"SPI","result",1.45327725,3.75e-06,0b00001110,0b00000000
"SPI","disable",1.45329575,2.5e-07,,
"SPI","enable",1.45333125,2.5e-07,,
"SPI","result",1.453396,3.75e-06,0b00000001,0b00000000
"SPI","result",1.4534,3.75e-06,0b00000001,0b00000000
"SPI","result",1.4534055,3.75e-06,0b00000100,0b00000000
"SPI","result",1.4534095,3.75e-06,0b00001011,0b00000000
"SPI","disable",1.4534265,2.5e-07,,
"SPI","enable",1.4534645,2.5e-07,,
"SPI","result",1.453522,3.75e-06,0b00000001,0b00000000
"SPI","result",1.453526,3.75e-06,0b00000010,0b00000000
"SPI","result",1.4535315,3.75e-06,0b00000000,0b00000000
"SPI","result",1.4535355,4e-06,0b00000000,0b00000000
"SPI","disable",1.45355275,2.5e-07,,
"SPI","enable",1.453589,2.5e-07,,
"SPI","result",1.4536785,3.75e-06,0b00000001,0b00000000
"SPI","result",1.4536825,3.75e-06,0b00000011,0b00000000
"SPI","result",1.453688,3.75e-06,0b00000000,0b00000000
"SPI","result",1.453692,3.75e-06,0b00000010,0b00000000
"SPI","disable",1.45370975,2.5e-07,,
"SPI","enable",1.45374475,2.5e-07,,
"SPI","result",1.4538185,3.75e-06,0b00000001,0b00000000
"SPI","result",1.4538225,3.75e-06,0b00000100,0b00000000
"SPI","result",1.453828,4e-06,0b00000001,0b00000000
"SPI","result",1.45383225,3.75e-06,0b00000110,0b00000000
"SPI","disable",1.4538505,2.5e-07,,
"SPI","enable",1.4538875,2.5e-07,,
"SPI","result",1.4539525,3.75e-06,0b00000001,0b00000000
"SPI","result",1.4539565,3.75e-06,0b00000101,0b00000000
"SPI","result",1.453962,4e-06,0b00000010,0b00000000
"SPI","result",1.45396625,3.75e-06,0b00001011,0b00000000
"SPI","disable",1.453984,2.5e-07,,
"SPI","enable",1.4540215,2.5e-07,,
"SPI","result",1.4540825,3.75e-06,0b00000001,0b00000000
"SPI","result",1.4540865,3.75e-06,0b00000110,0b00000000
"SPI","result",1.454092,3.75e-06,0b00000001,0b00000000
"SPI","result",1.454096,4e-06,0b00000010,0b00000000
"SPI","disable",1.4541145,2.5e-07,,
"SPI","enable",1.45415225,2.5e-07,,
"SPI","result",1.4542165,4e-06,0b00000001,0b00000000
"SPI","result",1.45422075,3.75e-06,0b00000111,0b00000000
"SPI","result",1.45422625,3.75e-06,0b00000100,0b00000000
"SPI","result",1.45423025,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.45424725,2.5e-07,,
"SPI","enable",1.45428225,2.5e-07,,
"SPI","result",1.45434525,3.75e-06,0b00000001,0b00000000
"SPI","result",1.45434925,4e-06,0b00001000,0b00000000
"SPI","result",1.454355,3.75e-06,0b00000110,0b00000000
"SPI","result",1.454359,3.75e-06,0b00000010,0b00000000
"SPI","disable",1.45437925,2.5e-07,,
"SPI","enable",1.45441575,2.5e-07,,
"SPI","result",1.4544795,3.75e-06,0b00000001,0b00000000
"SPI","result",1.4544835,3.75e-06,0b00001001,0b00000000
"SPI","result",1.454489,4e-06,0b00001000,0b00000000
"SPI","result",1.45449325,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.45451025,2.5e-07,,
"SPI","enable",1.45454525,2.5e-07,,
"SPI","result",1.454623,3.75e-06,0b00000001,0b00000000
"SPI","result",1.454627,4e-06,0b00001010,0b00000000
"SPI","result",1.45463275,3.75e-06,0b00001000,0b00000000
"SPI","result",1.45463675,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.45465475,2.5e-07,,
"SPI","enable",1.45469375,2.5e-07,,
"SPI","result",1.454767,3.75e-06,0b00000001,0b00000000
"SPI","result",1.454771,3.75e-06,0b00001011,0b00000000
"SPI","result",1.4547765,3.75e-06,0b00000000,0b00000000
"SPI","result",1.4547805,4e-06,0b00000000,0b00000000
"SPI","disable",1.45479825,2.5e-07,,
"SPI","enable",1.454836,2.5e-07,,
"SPI","result",1.4549065,3.75e-06,0b00000001,0b00000000
"SPI","result",1.4549105,3.75e-06,0b00001100,0b00000000
"SPI","result",1.45491625,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45492025,3.75e-06,0b00001010,0b00000000
"SPI","disable",1.454938,2.5e-07,,
"SPI","enable",1.45497575,2.5e-07,,
"SPI","result",1.45503375,3.75e-06,0b00000001,0b00000000
"SPI","result",1.45503775,4e-06,0b00001101,0b00000000
"SPI","result",1.4550435,3.75e-06,0b00000011,0b00000000
"SPI","result",1.4550475,3.75e-06,0b00000010,0b00000000
"SPI","disable",1.45506575,2.5e-07,,
"SPI","enable",1.45510025,2.5e-07,,
"SPI","result",1.45516125,3.75e-06,0b00000001,0b00000000
"SPI","result",1.45516525,3.75e-06,0b00001110,0b00000000
"SPI","result",1.45517075,4e-06,0b00001100,0b00000000
"SPI","result",1.455175,3.75e-06,0b00000011,0b00000000
"SPI","disable",1.45519325,2.5e-07,,
"SPI","enable",1.4552275,2.5e-07,,
"SPI","result",1.45528925,3.75e-06,0b00000001,0b00000000
"SPI","result",1.45529325,3.75e-06,0b00001111,0b00000000
"SPI","result",1.45529875,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45530275,3.75e-06,0b00000111,0b00000000
"SPI","disable",1.4553205,2.5e-07,,
"SPI","enable",1.455359,2.5e-07,,
"SPI","result",1.4554225,4e-06,0b00000010,0b00000000
"SPI","result",1.45542675,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45543225,3.75e-06,0b00000001,0b00000000
"SPI","result",1.45543625,3.75e-06,0b00000110,0b00000000
"SPI","disable",1.45545475,2.5e-07,,
"SPI","enable",1.45549225,2.5e-07,,
"SPI","result",1.45555325,4e-06,0b00000010,0b00000000
"SPI","result",1.4555575,3.75e-06,0b00000001,0b00000000
"SPI","result",1.455563,3.75e-06,0b00000000,0b00000000
"SPI","result",1.455567,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.455584,2.5e-07,,
"SPI","enable",1.45563775,2.5e-07,,
"SPI","result",1.45570675,4e-06,0b00000010,0b00000000
"SPI","result",1.455711,3.75e-06,0b00000010,0b00000000
"SPI","result",1.4557165,3.75e-06,0b00000000,0b00000000
"SPI","result",1.4557205,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.4557385,2.5e-07,,
"SPI","enable",1.455777,2.5e-07,,
"SPI","result",1.4558425,3.75e-06,0b00000010,0b00000000
"SPI","result",1.4558465,4e-06,0b00000100,0b00000000
"SPI","result",1.45585225,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45585625,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.45587525,2.5e-07,,
"SPI","enable",1.455915,2.5e-07,,
"SPI","result",1.455982,3.75e-06,0b00000010,0b00000000
"SPI","result",1.455986,3.75e-06,0b00000101,0b00000000
"SPI","result",1.4559915,4e-06,0b00000000,0b00000000
"SPI","result",1.45599575,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.456012,2.5e-07,,
"SPI","enable",1.456045,2.5e-07,,
"SPI","result",1.45610525,3.75e-06,0b00000010,0b00000000
"SPI","result",1.45610925,3.75e-06,0b00000110,0b00000000
"SPI","result",1.45611475,3.75e-06,0b00000011,0b00000000
"SPI","result",1.45611875,3.75e-06,0b00001011,0b00000000
"SPI","disable",1.45613725,2.5e-07,,
"SPI","enable",1.4561775,2.5e-07,,
"SPI","result",1.4562405,4e-06,0b00000010,0b00000000
"SPI","result",1.45624475,3.75e-06,0b00000111,0b00000000
"SPI","result",1.45625025,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45625425,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.456274,2.5e-07,,
"SPI","enable",1.45631175,2.5e-07,,
"SPI","result",1.4563665,3.75e-06,0b00000010,0b00000000
"SPI","result",1.4563705,3.75e-06,0b00001000,0b00000000
"SPI","result",1.456376,3.75e-06,0b00000001,0b00000000
"SPI","result",1.45638,3.75e-06,0b00000111,0b00000000
"SPI","disable",1.45639925,2.5e-07,,
"SPI","enable",1.456437,2.5e-07,,
"SPI","result",1.45649575,4e-06,0b00000010,0b00000000
"SPI","result",1.4565,3.75e-06,0b00001001,0b00000000
"SPI","result",1.4565055,3.75e-06,0b00000100,0b00000000
"SPI","result",1.4565095,3.75e-06,0b00000111,0b00000000
"SPI","disable",1.45652775,2.5e-07,,
"SPI","enable",1.456565,2.5e-07,,
"SPI","result",1.456651,3.75e-06,0b00000010,0b00000000
"SPI","result",1.456655,4e-06,0b00001010,0b00000000
"SPI","result",1.45666075,3.75e-06,0b00001000,0b00000000
"SPI","result",1.45666475,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.45668275,2.5e-07,,
"SPI","enable",1.45672175,2.5e-07,,
"SPI","result",1.45678325,3.75e-06,0b00000010,0b00000000
"SPI","result",1.45678725,3.75e-06,0b00001011,0b00000000
"SPI","result",1.45679275,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45679675,3.75e-06,0b00000011,0b00000000
"SPI","disable",1.456818,2.5e-07,,
"SPI","enable",1.45685625,2.5e-07,,
"SPI","result",1.4569205,3.75e-06,0b00000010,0b00000000
"SPI","result",1.4569245,3.75e-06,0b00001100,0b00000000
"SPI","result",1.45693,3.75e-06,0b00000000,0b00000000
"SPI","result",1.456934,4e-06,0b00000001,0b00000000
"SPI","disable",1.45695125,2.5e-07,,
"SPI","enable",1.45698625,2.5e-07,,
"SPI","result",1.45704375,3.75e-06,0b00000010,0b00000000
"SPI","result",1.45704775,4e-06,0b00001101,0b00000000
"SPI","result",1.4570535,3.75e-06,0b00000100,0b00000000
"SPI","result",1.4570575,3.75e-06,0b00000101,0b00000000
"SPI","disable",1.45707575,2.5e-07,,
"SPI","enable",1.457108,2.5e-07,,
"SPI","result",1.45717175,3.75e-06,0b00000010,0b00000000
"SPI","result",1.45717575,3.75e-06,0b00001110,0b00000000
"SPI","result",1.45718125,3.75e-06,0b00000001,0b00000000
"SPI","result",1.45718525,3.75e-06,0b00001000,0b00000000
"SPI","disable",1.4572015,2.5e-07,,
"SPI","enable",1.45723575,2.5e-07,,
"SPI","result",1.45729825,3.75e-06,0b00000010,0b00000000
"SPI","result",1.45730225,3.75e-06,0b00001111,0b00000000
"SPI","result",1.45730775,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45731175,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.4573295,2.5e-07,,
"SPI","enable",1.45736525,2.5e-07,,
"SPI","result",1.45742625,3.75e-06,0b00000011,0b00000000
"SPI","result",1.45743025,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45743575,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45743975,3.75e-06,0b00000001,0b00000000
"SPI","disable",1.4574575,2.5e-07,,
"SPI","enable",1.4574925,2.5e-07,,
"SPI","result",1.4575515,3.75e-06,0b00000011,0b00000000
"SPI","result",1.4575555,3.75e-06,0b00000001,0b00000000
"SPI","result",1.457561,3.75e-06,0b00000000,0b00000000
"SPI","result",1.457565,3.75e-06,0b00001111,0b00000000
"SPI","disable",1.4576005,2.5e-07,,
"SPI","enable",1.457636,2.5e-07,,
"SPI","result",1.45771275,3.75e-06,0b00001011,0b00000000
"SPI","result",1.45771675,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.457735,2.5e-07,,
"SPI","enable",1.45779,2.5e-07,,
"SPI","result",1.45786925,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45787325,3.75e-06,0b00000010,0b00000000
"SPI","result",1.45787875,3.75e-06,0b00000000,0b00000000
"SPI","result",1.45788275,3.75e-06,0b00000001,0b00000000
"SPI","disable",1.45790125,2.5e-07,,
"SPI","enable",1.45817175,2.5e-07,,
"SPI","result",1.4584175,3.75e-06,0b00000100,0b00000000
"SPI","result",1.4584215,3.75e-06,0b00000010,0b00000000
"SPI","result",1.458427,3.75e-06,0b00000000,0b00000000
"SPI","result",1.458431,3.75e-06,0b00000000,0b00000000
"SPI","disable",1.45845425,2.5e-07,,
"SPI","enable",1.4587205,2.5e-07,,
"SPI","result",1.45897375,3.75e-06,0b00000110,0b00000000
"SPI","result",1.45897775,3.75e-06,0b00000010,0b00000000
