name,type,start_time,duration,"mosi","miso"
"SPI","enable",7.146637,2.50000001e-07,,
"SPI","result",7.1466485,3.75e-06,0b00000000,0b00000000
"SPI","result",7.1466525,3.75e-06,0b00000000,0b00000000
"SPI","disable",7.14665725,2.50000001e-07,,
"SPI","enable",7.14665775,2.5e-07,,
"SPI","result",7.146662,3.75e-06,0b00000000,0b00000000
"SPI","result",7.146666,3.75e-06,0b00000110,0b00000000
"SPI","result",7.146671,3.75e-06,0b00000101,0b00000000
"SPI","result",7.146675,3.75e-06,0b00000111,0b00000000
"SPI","result",7.1466805,3.75e-06,0b00000101,0b00000000
"SPI","result",7.1466845,3.75e-06,0b00001010,0b00000000
"SPI","result",7.14669,4e-06,0b00000101,0b00000000
"SPI","result",7.14669425,3.75e-06,0b00000010,0b00000000
"SPI","result",7.14669975,3.75e-06,0b00000100,0b00000000
"SPI","result",7.14670375,3.75e-06,0b00000110,0b00000000
"SPI","result",7.1467125,3.75e-06,0b00000000,0b00000000
"SPI","result",7.1467165,3.75e-06,0b00000001,0b00000000
"SPI","result",7.146722,3.75e-06,0b00000100,0b00000000
"SPI","result",7.146726,3.25e-06,0b00000010,0b00000000
"SPI","disable",7.14672925,2.5e-07,,
"SPI","enable",7.14673,2.5e-07,,
"SPI","result",7.1467335,3.75e-06,0b00000000,0b00000000
"SPI","result",7.1467375,3.75e-06,0b00001001,0b00000000
"SPI","result",7.146743,3.75e-06,0b00000000,0b00000000
"SPI","result",7.146747,3.75e-06,0b00000101,0b00000000
"SPI","result",7.14675575,3.75e-06,0b00001010,0b00000000
"SPI","result",7.14675975,3.25e-06,0b00000000,0b00000000
"SPI","disable",7.146763,2.5e-07,,
"SPI","enable",7.14676375,2.5e-07,,
"SPI","result",7.146767,3.75e-06,0b00000000,0b00000000
"SPI","result",7.146771,3.75e-06,0b00001011,0b00000000
"SPI","result",7.14677675,3.75e-06,0b00000001,0b00000000
"SPI","result",7.14678075,3.75e-06,0b00001001,0b00000000
"SPI","result",7.14678875,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14679275,3.75e-06,0b00001100,0b00000000
"SPI","result",7.14679775,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14680175,3.25e-06,0b00000001,0b00000000
"SPI","disable",7.146805,2.5e-07,,
"SPI","enable",7.14680575,2.49999999e-07,,
"SPI","result",7.146809,4e-06,0b00000000,0b00000000
"SPI","result",7.14681325,3.75e-06,0b00001101,0b00000000
"SPI","result",7.14681875,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14682275,3.75e-06,0b00000101,0b00000000
"SPI","result",7.14683075,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14683475,3.75e-06,0b00001110,0b00000000
"SPI","result",7.14683975,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14684375,3.25e-06,0b00000000,0b00000000
"SPI","disable",7.14684725,2.49999999e-07,,
"SPI","enable",7.14684775,2.5e-07,,
"SPI","result",7.14685125,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14685525,3.75e-06,0b00001111,0b00000000
"SPI","result",7.14686075,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14686475,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14687275,3.75e-06,0b00000001,0b00000000
"SPI","result",7.14687675,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14688175,4e-06,0b00001001,0b00000000
"SPI","result",7.146886,3.25e-06,0b00001110,0b00000000
"SPI","disable",7.14688925,2.5e-07,,
"SPI","enable",7.14688975,2.50000001e-07,,
"SPI","result",7.14689325,3.75e-06,0b00000001,0b00000000
"SPI","result",7.14689725,3.75e-06,0b00000001,0b00000000
"SPI","result",7.14690275,3.75e-06,0b00000100,0b00000000
"SPI","result",7.14690675,3.75e-06,0b00001011,0b00000000
"SPI","result",7.14691475,3.75e-06,0b00000001,0b00000000
"SPI","result",7.14691875,4e-06,0b00000010,0b00000000
"SPI","result",7.146924,3.75e-06,0b00000000,0b00000000
"SPI","result",7.146928,3.25e-06,0b00000000,0b00000000
"SPI","disable",7.14693125,2.5e-07,,
"SPI","enable",7.146932,2.5e-07,,
"SPI","result",7.14693525,3.75e-06,0b00000001,0b00000000
"SPI","result",7.14693925,3.75e-06,0b00000011,0b00000000
"SPI","result",7.14694475,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14694875,4e-06,0b00000010,0b00000000
"SPI","result",7.146957,3.75e-06,0b00000001,0b00000000
"SPI","result",7.146961,3.75e-06,0b00000100,0b00000000
"SPI","result",7.146966,3.75e-06,0b00000001,0b00000000
"SPI","result",7.14697,3.25e-06,0b00000110,0b00000000
"SPI","disable",7.14697325,2.5e-07,,
"SPI","enable",7.146974,2.5e-07,,
"SPI","result",7.14697725,3.75e-06,0b00000001,0b00000000
"SPI","result",7.14698125,3.75e-06,0b00000101,0b00000000
"SPI","result",7.14698675,4e-06,0b00000010,0b00000000
"SPI","result",7.146991,3.75e-06,0b00001011,0b00000000
"SPI","disable",7.14699475,2.50000001e-07,,
"SPI","enable",7.146995,2.49999999e-07,,
"SPI","result",7.146999,3.75e-06,0b00000001,0b00000000
"SPI","result",7.147003,3.75e-06,0b00000110,0b00000000
"SPI","result",7.147008,3.75e-06,0b00000001,0b00000000
"SPI","result",7.147012,3.25e-06,0b00000010,0b00000000
"SPI","disable",7.14701525,2.5e-07,,
"SPI","enable",7.147016,2.5e-07,,
"SPI","result",7.14701925,4e-06,0b00000001,0b00000000
"SPI","result",7.1470235,3.75e-06,0b00000111,0b00000000
"SPI","result",7.147029,3.75e-06,0b00000100,0b00000000
"SPI","result",7.147033,3.75e-06,0b00000000,0b00000000
"SPI","result",7.147041,3.75e-06,0b00000001,0b00000000
"SPI","result",7.147045,3.75e-06,0b00001000,0b00000000
"SPI","result",7.14705,3.75e-06,0b00000110,0b00000000
"SPI","result",7.147054,3.25e-06,0b00000010,0b00000000
"SPI","disable",7.14705725,2.5e-07,,
"SPI","enable",7.147058,2.5e-07,,
"SPI","result",7.1470615,3.75e-06,0b00000001,0b00000000
"SPI","result",7.1470655,3.75e-06,0b00001001,0b00000000
"SPI","result",7.147071,3.75e-06,0b00001000,0b00000000
"SPI","result",7.147075,3.75e-06,0b00000000,0b00000000
"SPI","result",7.147083,3.75e-06,0b00000001,0b00000000
"SPI","result",7.147087,3.75e-06,0b00001010,0b00000000
"SPI","result",7.147092,4e-06,0b00001000,0b00000000
"SPI","result",7.14709625,3.25e-06,0b00000000,0b00000000
"SPI","disable",7.1470995,2.49999999e-07,,
"SPI","enable",7.1471,2.5e-07,,
"SPI","result",7.1471035,3.75e-06,0b00000001,0b00000000
"SPI","result",7.1471075,3.75e-06,0b00001011,0b00000000
"SPI","result",7.147113,3.75e-06,0b00000000,0b00000000
"SPI","result",7.147117,3.75e-06,0b00000000,0b00000000
"SPI","result",7.147125,3.75e-06,0b00000001,0b00000000
"SPI","result",7.147129,4e-06,0b00001100,0b00000000
"SPI","result",7.14713425,3.75e-06,0b00000000,0b00000000
"SPI","result",7.14713825,3.25e-06,0b00001010,0b00000000
