name,type,start_time,duration,"mosi","miso"
"SPI","enable",5.17307525,2.50000001e-07,,
"SPI","result",5.17307625,4e-06,0b00001010,0b00000000
"SPI","disable",5.1730805,2.49999999e-07,,
"SPI","enable",5.17308325,2.49999999e-07,,
"SPI","result",5.1730855,4e-06,0b00000010,0b00000000
"SPI","result",5.17309025,4e-06,0b00001000,0b00000000
"SPI","result",5.173098,4e-06,0b00000001,0b00000000
"SPI","result",5.17310275,4e-06,0b00001111,0b00000000
"SPI","disable",5.173108,2.5e-07,,
"SPI","enable",5.17311025,2.5e-07,,
"SPI","result",5.1731125,4e-06,0b00000000,0b00000000
"SPI","result",5.173117,4.25e-06,0b00001110,0b00000000
"SPI","result",5.173125,4e-06,0b00000000,0b00000000
"SPI","result",5.1731295,4.25e-06,0b00000001,0b00000000
"SPI","disable",5.17313475,2.5e-07,,
"SPI","enable",5.17313725,2.5e-07,,
"SPI","result",5.17313925,4.25e-06,0b00000000,0b00000000
"SPI","result",5.173144,4e-06,0b00000001,0b00000000
"SPI","result",5.17315175,4e-06,0b00000110,0b00000000
"SPI","result",5.1731565,4e-06,0b00000010,0b00000000
"SPI","disable",5.17316175,2.49999999e-07,,
"SPI","enable",5.173164,2.5e-07,,
"SPI","result",5.17316625,4e-06,0b00000001,0b00000000
"SPI","result",5.173171,4e-06,0b00001111,0b00000000
"SPI","result",5.17317875,4e-06,0b00000000,0b00000000
"SPI","result",5.1731835,4e-06,0b00001111,0b00000000
"SPI","disable",5.17318875,2.5e-07,,
"SPI","enable",5.1731925,2.5e-07,,
"SPI","result",5.17319475,4e-06,0b00000000,0b00000000
"SPI","result",5.17319925,4.25e-06,0b00001111,0b00000000
"SPI","result",5.17320725,4e-06,0b00000000,0b00000000
"SPI","result",5.17321175,4e-06,0b00000100,0b00000000
"SPI","disable",5.173217,2.5e-07,,
"SPI","enable",5.1732195,2.5e-07,,
"SPI","result",5.1732215,4.25e-06,0b00000000,0b00000000
"SPI","result",5.17322625,4e-06,0b00001011,0b00000000
"SPI","result",5.173234,4e-06,0b00000000,0b00000000
"SPI","result",5.17323875,4e-06,0b00000001,0b00000000
"SPI","disable",5.173244,2.49999999e-07,,
"SPI","enable",5.17324625,2.5e-07,,
"SPI","result",5.1732485,4e-06,0b00000000,0b00000000
"SPI","result",5.17325325,4e-06,0b00000011,0b00000000
"SPI","result",5.173261,4e-06,0b00000000,0b00000000
"SPI","result",5.17326575,4e-06,0b00001111,0b00000000
"SPI","disable",5.173271,2.5e-07,,
"SPI","enable",5.173479,2.49999999e-07,,
"SPI","result",5.17347975,4.25e-06,0b00001010,0b00000000
"SPI","disable",5.173484,2.49999999e-07,,
"SPI","enable",5.173487,2.5e-07,,
"SPI","result",5.173488,4e-06,0b00001110,0b00000000
"SPI","disable",5.173492,2.5e-07,,
"SPI","enable",5.17349375,2.5e-07,,
"SPI","result",5.17349625,4e-06,0b00000000,0b00000000
"SPI","result",5.17350075,4.25e-06,0b00000101,0b00000000
"SPI","result",5.173511,4e-06,0b00000100,0b00000000
"SPI","result",5.17351575,4e-06,0b00001001,0b00000000
"SPI","result",5.1735265,4e-06,0b00000110,0b00000000
"SPI","result",5.17353125,4e-06,0b00000100,0b00000000
"SPI","result",5.173542,4e-06,0b00000010,0b00000000
"SPI","result",5.17354675,4e-06,0b00000010,0b00000000
"SPI","result",5.1735575,4e-06,0b00000110,0b00000000
"SPI","result",5.17356225,4e-06,0b00000100,0b00000000
"SPI","result",5.173573,4e-06,0b00000010,0b00000000
"SPI","result",5.17357775,4e-06,0b00000001,0b00000000
"SPI","result",5.1735885,4e-06,0b00000011,0b00000000
"SPI","result",5.17359325,4e-06,0b00000100,0b00000000
"SPI","result",5.173604,4.25e-06,0b00000010,0b00000000
"SPI","result",5.17360875,4e-06,0b00000001,0b00000000
"SPI","result",5.1736195,4.25e-06,0b00000001,0b00000000
"SPI","result",5.17362425,4e-06,0b00000100,0b00000000
"SPI","result",5.173635,4.25e-06,0b00000010,0b00000000
"SPI","result",5.17363975,4e-06,0b00001100,0b00000000
"SPI","result",5.1736505,4.25e-06,0b00000001,0b00000000
"SPI","result",5.17365525,4e-06,0b00000100,0b00000000
"SPI","result",5.17366625,4e-06,0b00000010,0b00000000
"SPI","result",5.17367075,4e-06,0b00001100,0b00000000
"SPI","result",5.17368175,4e-06,0b00000001,0b00000000
"SPI","result",5.17368625,4e-06,0b00000100,0b00000000
"SPI","result",5.17369725,4e-06,0b00000010,0b00000000
"SPI","result",5.17370175,4e-06,0b00001100,0b00000000
"SPI","result",5.17371275,4e-06,0b00000001,0b00000000
"SPI","result",5.17371725,4.25e-06,0b00000100,0b00000000
"SPI","result",5.17372825,4e-06,0b00000010,0b00000000
"SPI","result",5.17373275,4.25e-06,0b00000001,0b00000000
